CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Dining,Chase Sapphire,6143.0,18.99,Chase Sapphire Preferred,Restaurants & Bars,2025-03-01,False,Top Tomato,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,56.97,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,56.97,0.0,True
Dining,Chase Sapphire,6143.0,42.2,Chase Sapphire Preferred,Restaurants & Bars,2025-02-28,False,Puttshack - Philadel,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,126.6,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,126.6,0.0,True
Dining,Chase Sapphire,6143.0,38.47,Chase Sapphire Preferred,Restaurants & Bars,2025-02-28,False,Lsu Jose Pistolas,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,115.41,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,115.41,0.0,True
Dining,Chase Sapphire,6143.0,10.69,Chase Sapphire Preferred,Restaurants & Bars,2025-02-28,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,32.07,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,32.07,0.0,True
Subscriptions,Freedom Flex,2429.0,87.97,Chase Freedom Flex,Subscriptions,2025-02-28,False,Youtube Tv,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Youtube Tv,posted,,regular,1.0,Chase Freedom Flex,87.97,Chase Freedom Unlimited,1.5,131.95,43.97999999999999,False
Groceries,Freedom Flex,2429.0,17.27,Chase Freedom Flex,Groceries,2025-02-28,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Freedom Flex,17.27,Chase Freedom Unlimited,1.5,25.9,8.629999999999999,False
Dining,Chase Sapphire,6143.0,9.0,Chase Sapphire Preferred,Restaurants & Bars,2025-02-27,False,Halal King Gyro,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,27.0,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,27.0,0.0,True
Other,Chase Sapphire,6143.0,7.41,Chase Sapphire Preferred,Shops,2025-02-27,False,Amazon Mktpl*2q8bd,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,7.41,Chase Freedom Unlimited,1.5,11.12,3.709999999999999,False
Dining,Chase Sapphire,6143.0,5.32,Chase Sapphire Preferred,Restaurants & Bars,2025-02-27,False,Good Karma Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,15.96,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,15.96,0.0,True
Dining,Chase Sapphire,6143.0,106.26,Chase Sapphire Preferred,Restaurants & Bars,2025-02-26,False,Fado Irish Pub - Phi,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,318.78,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,318.78,0.0,True
