date,name,amount,status,category,parent category,excluded,tags,type,account,account mask,note,recurring,merchant,card_used,best_card,best_rate,points_earned,optimal_used,optimal_points,missed_points
2024-10-28,"Online Payment, Thank You",-200.47,posted,,,True,,internal transfer,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,"Online Payment, Thank You",Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,Unmatched,1.0,-200.47,False,-200.47,0.0
2024-10-27,Cinnabon,21.78,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Cinnabon,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,65.34,True,65.34,0.0
2024-10-27,Uber,9.27,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Uber,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,18.54,True,18.54,0.0
2024-10-27,National Car Rental,542.07,posted,Travel & Vacation,,True,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,National Car Rental,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,1084.14,True,1084.14,0.0
2024-10-26,"Harris Teeter Supermarkets, Inc",65.68,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,"Harris Teeter Supermarkets, Inc",Chase Sapphire,Freedom Unlimited,1.5,65.68,False,98.52,32.84
2024-10-26,Lyft,20.74,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Lyft,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,41.48,True,41.48,0.0
2024-10-25,Prohibition - Chs,72.35,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Prohibition - Chs,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,217.05,True,217.05,0.0
2024-10-25,Circle K,9.42,posted,Car/Gas,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Circle K,Chase Sapphire,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,9.42,False,18.84,9.42
2024-10-25,Glf*patriotspoint,280.78,posted,Recreation,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Glf*patriotspoint,Chase Sapphire,Freedom Unlimited,1.5,280.78,False,421.17,140.39
2024-10-25,Recovery Room Tavern,112.13,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Recovery Room Tavern,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,336.39,True,336.39,0.0
2024-10-25,Uber,24.27,posted,Ubers/Septa,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Uber,Chase Sapphire,"Chase Sapphire, CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®",2.0,48.54,True,48.54,0.0
2024-10-25,"Harris Teeter Supermarkets, Inc",50.6,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,"Harris Teeter Supermarkets, Inc",Chase Sapphire,Freedom Unlimited,1.5,50.6,False,75.9,25.3
2024-10-25,Circle K,34.5,posted,Car/Gas,Standard of Living,False,,regular,Freedom Flex,2429.0,,,Circle K,Freedom Flex,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,34.5,False,69.0,34.5
2024-10-24,Mcdonald's,11.62,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Mcdonald's,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,34.86,True,34.86,0.0
2024-10-24,Costco,270.32,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Costco,Chase Sapphire,Freedom Unlimited,1.5,270.32,False,405.48,135.16
2024-10-23,Johnson Street Yacht,4.51,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Johnson Street Yacht,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,13.53,True,13.53,0.0
