"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-10-06","Venmo",-37.5,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-06","Comcast",70,"posted","Rent/Utilities","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,"Wifi Monthly"
"2025-10-06","Venmo",15,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-06","Venmo",30,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-06","Venmo",1705,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-06","Payment Thank You-mobile",-573.07,"posted","",,true,,"internal transfer","Freedom Unlimited","1093",,""
"2025-10-06","Septa",2.9,"posted","Ubers/Septa","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-10-05","Netflix",8.47,"posted","Subscriptions","Standard of Living",false,,"regular","Freedom Flex","2429",,"Netflix"
"2025-10-05","Ryan Kalitz ""drinks""",15,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-10-05","Claire Boylan ""dominoes""",30,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-10-04","Trader Joe's",73.36,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-04","Pecoenergyb",84.5,"posted","Rent/Utilities","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-04","Tenth Street Hardware",-17.27,"posted","Home Improvement","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-04","Tenth Street Hardware",17.27,"posted","Home Improvement","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-04","Tenth Street Hardware",23.74,"posted","Home Improvement","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-04","Schmear It - 12th St",14.31,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-04","Shelby Gammon ""🥩""",-37.5,"posted","Groceries","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-10-04","Standard",37.5,"posted","",,true,,"regular","Personal Profile",,,""
"2025-10-03","Halal King Gyro",9,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-03","Whole Foods",76.01,"posted","Groceries","Standard of Living",false,,"regular","Chase Sapphire","6143",,""
"2025-10-03","Anni Properties ""october Rent Water 1211 1f""",1705,"posted","Rent/Utilities","Standard of Living",false,,"regular","Personal Profile",,,"Rent"
"2025-10-02","Merck Sharp And",-2686.53,"posted","",,true,,"income","Usaa Classic Checking","6726",,""
"2025-10-02","Moms Of Center City",3.66,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-02","Schmear It - 12th St",5.35,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-02","Honeygrow",12.29,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-01","Venmo",-21.99,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-01","Venmo",180,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-01","Venmo",-21.99,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-01","Costco",69.31,"posted","Subscriptions","Standard of Living",false,,"regular","Chase Sapphire","6143",,"Costco Membership"
